morphospecies	ordered_vines	questionable	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0_Vitis_riparia	x001_279897	NA	-0.0457552	-0.00210466	0.00780156	0.000922756	-0.0257014	0.0186803	-0.0174672	-0.0271149	-0.00799602	0.00309238
0_Vitis_riparia	x002_313922	NA	-0.0449386	-0.000889498	0.00944625	0.000178859	-0.0259929	0.0177771	-0.0166462	-0.0278642	-0.0113914	0.00600966
0_Vitis_riparia	x003_483165	483165	-0.0419275	-0.00181762	0.00535115	0.00125461	0.0235208	-0.0274504	0.0240634	0.0784576	0.0337698	-0.043721
0_Vitis_riparia	x004_483166	NA	-0.045836	-0.000749919	0.00831847	0.00299311	-0.0244069	0.0159596	-0.0178179	-0.0303298	-0.0116772	0.00543473
0_Vitis_riparia	x005_483168	NA	-0.0474113	0.000308569	0.00847168	0.000888958	-0.0290684	0.0204285	-0.0177385	-0.0298263	-0.00751126	0.000392917
0_Vitis_riparia	x006_483169	NA	-0.0460151	-0.00122936	0.0102303	0.00130428	-0.0266958	0.018348	-0.0154119	-0.0289625	-0.00798351	0.00390622
0_Vitis_riparia	x007_483170	NA	-0.0365001	0.00361529	0.0103487	0.00147748	-0.0257912	0.0183555	-0.0159852	-0.0263132	-0.00669932	-0.000252422
0_Vitis_riparia	x008_483171	NA	-0.0443675	-0.000364065	0.00719404	4.42E-05	-0.0279882	0.0191314	-0.0163097	-0.0292902	-0.0088271	0.00392784
0_Vitis_riparia	x009_483172	NA	-0.0462487	1.72E-05	0.00957392	0.00066564	-0.0267366	0.0189158	-0.014362	-0.0259758	-0.00859767	0.00189266
0_Vitis_riparia	x010_483175	NA	0.0612732	0.0936589	0.0465526	0.00707135	-0.0134266	0.0172749	0.00896473	-0.0157808	0.0149466	-0.0124659
0_Vitis_riparia	x011_483177	NA	0.0224686	0.0553161	0.00485211	-0.00197038	0.0201086	0.0282414	0.0460828	-0.0614821	-0.0150405	-0.0384551
0_Vitis_riparia	x012_483181	NA	0.029571	0.0616791	0.0438756	0.0083822	-0.0290081	0.00882062	-0.0199212	-0.000209314	0.016998	0.0159219
0_Vitis_riparia	x013_483182	NA	-0.0413508	-0.00257871	0.00651618	0.00259091	-0.00674119	0.000871677	-0.010893	-0.0131223	-0.0201377	0.0153696
0_Vitis_riparia	x014_495622	NA	-0.0463994	-0.000916627	0.00900056	0.000642667	-0.0315152	0.0233692	-0.0206712	-0.0336996	-0.0076717	0.00301447
0_Vitis_riparia	x015_495622	NA	-0.0466762	-0.00032436	0.00910717	0.00073938	-0.030222	0.0236424	-0.0202227	-0.0315034	-0.00954666	0.00310217
0_Vitis_riparia	x016_495622	NA	-0.0460115	-0.000861115	0.00911368	0.000314304	-0.0288283	0.022861	-0.0216974	-0.0288807	-0.0092857	0.000356808
0_Vitis_riparia	x017_495622	NA	-0.0459728	-0.000125833	0.00733514	0.000868203	-0.0304983	0.025394	-0.0227342	-0.0313878	-0.0105837	0.00179068
0_Vitis_riparia	x018_495622	NA	-0.0483089	-0.000303612	0.0083833	0.000960986	-0.0298381	0.0229265	-0.0205962	-0.0325725	-0.00951076	0.00590906
0_Vitis_riparia	x019_495622	NA	-0.0457446	-0.000780702	0.00826628	0.00157969	-0.0290406	0.0217958	-0.0195102	-0.0325872	-0.0112499	0.00434296
0_Vitis_riparia	x020_495622	NA	-0.0475103	-0.000360208	0.00864541	0.000465531	-0.0293025	0.024008	-0.0209541	-0.0335417	-0.0108371	0.00429927
0_Vitis_riparia	x021_495622	NA	-0.0461928	0.000323625	0.0068884	0.00127796	-0.0274443	0.0237417	-0.0199185	-0.0348764	-0.00998088	0.00545167
0_Vitis_riparia	x022_495622	NA	-0.0438888	0.000387429	0.006254	-6.67E-06	-0.0223781	0.0304477	-0.0220219	-0.0323887	-0.00859547	0.00615549
0_Vitis_riparia	x023_495622	NA	-0.0197441	0.0201461	-0.0409217	-0.0125804	0.0416175	0.115428	-0.0820288	-0.0182022	0.014475	0.0361374
0_Vitis_riparia	x024_495622	NA	-0.0462602	-0.000201782	0.00694089	0.00197576	-0.0269574	0.0231901	-0.0199518	-0.0325641	-0.012175	0.00556396
0_Vitis_riparia	x025_495622	NA	-0.0471348	-0.000234749	0.00794446	0.0012983	-0.0295167	0.0262974	-0.0229035	-0.0323772	-0.0108492	0.00428782
0_Vitis_riparia	x026_495622	NA	-0.0476346	-0.000920002	0.00905893	0.000595182	-0.0256869	0.0227212	-0.0184746	-0.0289505	-0.00955088	0.00312069
0_Vitis_riparia	x027_495622	NA	-0.0456878	-0.00043845	0.00799329	0.000818749	-0.0293025	0.0225426	-0.0194103	-0.0288788	-0.0100971	0.00310066
