morphospecies	ordered_vines	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
0_Vitis_riparia	x001_279897	1.00E-05	1.00E-05	1.00E-05	0.146933	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.852987
0_Vitis_riparia	x002_313922	1.00E-05	1.00E-05	1.00E-05	0.082845	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.917075
0_Vitis_riparia	x003_483165	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x004_483166	1.00E-05	1.00E-05	1.00E-05	0.076211	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.041919	0.8818
0_Vitis_riparia	x005_483168	1.00E-05	1.00E-05	1.00E-05	0.121325	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.031508	0.847097
0_Vitis_riparia	x006_483169	1.00E-05	1.00E-05	1.00E-05	0.02612	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.062337	0.911473
0_Vitis_riparia	x007_483170	1.00E-05	0.044735	1.00E-05	0.017946	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.035414	0.901844
0_Vitis_riparia	x008_483171	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.00599	0.99393
0_Vitis_riparia	x009_483172	1.00E-05	1.00E-05	1.00E-05	0.039948	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.00477	0.955212
0_Vitis_riparia	x010_483175	0.021372	0.622022	0.037597	0.008052	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.035889	0.275029
0_Vitis_riparia	x011_483177	1.00E-05	0.307115	0.152762	0.031249	0.065054	1.40E-05	1.00E-05	1.00E-05	0.02023	0.423545
0_Vitis_riparia	x012_483181	1.00E-05	0.460679	1.00E-05	0.005863	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.533388
0_Vitis_riparia	x013_483182	1.00E-05	1.00E-05	1.00E-05	0.044559	0.138679	1.00E-05	0.022497	0.020613	0.01906	0.754552
