,Individual leaves,,,,Modeled shoots,,,
Species,Precision,Recall,Accuracy,F1,Precision,Recall,Accuracy,F1
A. glandulosa,0.93,1.00,1.00,0.96,1.00,1.00,1.00,1.00
V. acerifolia,0.57,0.50,0.50,0.53,0.90,0.94,0.94,0.92
V. aestivalis,0.68,0.56,0.56,0.62,0.96,0.97,0.97,0.97
V. amurensis,0.65,0.73,0.73,0.69,0.99,0.97,0.97,0.98
V. cinerea,0.59,0.69,0.69,0.64,0.97,0.91,0.91,0.94
V. coignetiae,0.74,0.77,0.77,0.75,1.00,1.00,1.00,1.00
V. labrusca,0.67,0.65,0.65,0.66,0.95,0.97,0.97,0.96
V. palmata,0.85,0.84,0.84,0.85,1.00,1.00,1.00,1.00
V. riparia,0.58,0.51,0.51,0.54,0.85,0.87,0.87,0.86
V. rupestris,0.76,0.73,0.73,0.75,0.99,0.84,0.84,0.91
V. vulpina,0.69,0.75,0.75,0.72,0.88,0.99,0.99,0.93
